province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Meta,Colombia,2021-01-22,3.272,-73.0877,POINT(-73.0877 3.272),38977,844,36783,1350,,,"Meta, Colombia"
Meta,Colombia,2021-04-22,3.272,-73.0877,POINT(-73.0877 3.272),45450,1040,43863,547,,,"Meta, Colombia"
Meta,Colombia,2021-05-30,3.272,-73.0877,POINT(-73.0877 3.272),52563,1235,50445,883,,,"Meta, Colombia"
Meta,Colombia,2021-11-29,3.272,-73.0877,POINT(-73.0877 3.272),90163,2283,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-04,3.272,-73.0877,POINT(-73.0877 3.272),89721,2278,,,,,"Meta, Colombia"
Meta,Colombia,2021-02-18,3.272,-73.0877,POINT(-73.0877 3.272),41910,960,40434,516,,,"Meta, Colombia"
Meta,Colombia,2021-06-10,3.272,-73.0877,POINT(-73.0877 3.272),57975,1347,54981,1647,,,"Meta, Colombia"
Meta,Colombia,2021-07-02,3.272,-73.0877,POINT(-73.0877 3.272),73118,1732,69401,1985,,,"Meta, Colombia"
Meta,Colombia,2021-12-22,3.272,-73.0877,POINT(-73.0877 3.272),90692,2299,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-07,3.272,-73.0877,POINT(-73.0877 3.272),90321,2283,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-29,3.272,-73.0877,POINT(-73.0877 3.272),40329,876,38385,1068,,,"Meta, Colombia"
